Designator,Mid X,Mid Y,Rotation,Layer
R53,168.275,-131.582,270.0,top
R54,158.623,-131.582,270.0,top
R55,160.655,-56.134,180.0,top
R6,142.113,-126.492,180.0,top
R60,172.212,-128.778,90.0,top
R61,154.686,-128.778,90.0,top
R62,124.714,-111.76,180.0,top
R63,124.714,-114.3,180.0,top
R64,124.714,-116.84,180.0,top
R65,124.714,-119.38,180.0,top
R66,124.714,-121.92,180.0,top
R67,124.714,-124.46,180.0,top
R7,153.67,-128.778,90.0,top
R72,125.603,-88.265,90.0,top
R73,152.781,-105.537,135.0,top
R74,124.587,-88.265,90.0,top
R75,123.571,-88.265,270.0,top
R76,172.466,-107.696,270.0,top
R77,197.612,-90.424,270.0,top
R78,197.612,-104.648,270.0,top
R79,197.612,-118.872,270.0,top
R8,150.241,-126.492,0.0,top
R80,197.612,-133.096,270.0,top
R81,172.466,-104.14,270.0,top
R82,187.198,-102.87,270.0,top
R83,186.182,-102.87,270.0,top
R84,181.864,-117.348,0.0,top
R85,181.864,-119.126,0.0,top
R86,181.864,-120.904,0.0,top
R87,204.47,-90.424,0.0,top
R88,204.47,-104.648,0.0,top
R89,204.47,-118.872,0.0,top
R9,141.097,-131.572,90.0,top
R90,204.47,-133.096,0.0,top
R91,181.864,-122.682,0.0,top
R92,178.054,-112.014,0.0,top
R93,199.644,-90.424,90.0,top
R94,198.628,-104.648,90.0,top
R95,198.628,-118.872,90.0,top
R96,198.628,-133.096,90.0,top
R97,176.022,-112.014,180.0,top
R98,198.628,-90.424,90.0,top
R99,199.644,-104.648,90.0,top
SW1,132.461,-125.73,0.0,top
U1,123.317,-56.388,270.0,top
U10,176.784,-118.237,180.0,top
U11,203.2,-85.598,90.0,top
U12,203.2,-99.822,90.0,top
U13,203.2,-114.046,90.0,top
U14,203.2,-128.27,90.0,top
U15,182.372,-107.696,270.0,top
U2,127.381,-102.489,270.0,top
U3,192.786,-48.514,270.0,top
U4,179.578,-48.514,270.0,top
U5,178.308,-64.643,180.0,top
U6,186.182,-48.514,270.0,top
U7,172.974,-48.514,270.0,top
U8,142.113,-98.933,135.0,top
U9,127.127,-91.694,0.0,top
Y1,150.495,-109.347,90.0,top
Y2,155.575,-108.331,180.0,top
